match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
134449565887025,TEAM-7C631724,HOME,53,2,14,2,0
134449565887025,TEAM-BDDFCDFA,AWAY,47,27,4,0,0
99010512310485,TEAM-7273A887,HOME,38,2,9,1,0
99010512310485,TEAM-720795A0,AWAY,62,20,1,100,0
1981896096722,TEAM-0587F59E,HOME,55,4,19,4,0
1981896096722,TEAM-782246EA,AWAY,45,75,6,75,0
71726453882620,TEAM-0E077100,HOME,33,7,11,4,0
71726453882620,TEAM-B2118D2C,AWAY,67,33,5,28,0
58845994898066,TEAM-720795A0,HOME,57,4,18,0,0
58845994898066,TEAM-839B22B8,AWAY,43,25,2,75,0
123845363308532,TEAM-550D05AB,HOME,76,7,24,4,0
123845363308532,TEAM-0E077100,AWAY,24,44,4,57,0
31635900754577,TEAM-782246EA,HOME,34,3,11,4,0
31635900754577,TEAM-A4EC0F45,AWAY,66,45,5,0,0
96380130563499,TEAM-7273A887,AWAY,40,29,5,100,0
37099678724814,TEAM-0587F59E,HOME,55,7,22,1,0
37099678724814,TEAM-1C981597,AWAY,45,50,3,42,0
249165185143039,TEAM-B2118D2C,HOME,51,3,11,4,0
249165185143039,TEAM-51EA86E0,AWAY,49,40,6,66,0
238364193930544,TEAM-7C631724,AWAY,35,50,4,100,0
224127150371417,TEAM-BDDFCDFA,HOME,40,0,7,4,0
224127150371417,TEAM-93330B41,AWAY,60,55,6,0,0
182653505299194,TEAM-27AC674B,HOME,49,3,10,1,0
182653505299194,TEAM-D069E7F8,AWAY,51,22,2,0,0
78424921640283,TEAM-A4EC0F45,HOME,64,5,17,1,0
78424921640283,TEAM-839B22B8,AWAY,36,33,2,100,0
166431566720497,TEAM-D069E7F8,HOME,43,3,9,2,0
166431566720497,TEAM-720795A0,AWAY,57,36,5,33,0
36599477633161,TEAM-7273A887,HOME,44,2,5,1,0
36599477633161,TEAM-27AC674B,AWAY,56,25,2,0,0
266196119130298,TEAM-B2118D2C,HOME,25,2,4,0,0
12867779076770,TEAM-93330B41,HOME,52,5,11,2,0
12867779076770,TEAM-782246EA,AWAY,48,23,3,0,0
111769967402787,TEAM-0FF29040,HOME,54,1,7,2,0
111769967402787,TEAM-0587F59E,AWAY,46,31,4,0,0
268893201650669,TEAM-A415D192,HOME,41,9,13,3,0
273186728740917,TEAM-1C981597,HOME,47,1,9,0,0
273186728740917,TEAM-BDDFCDFA,AWAY,53,40,2,100,0
190479901032667,TEAM-0E077100,HOME,65,3,14,5,0
190479901032667,TEAM-7C631724,AWAY,35,47,8,66,0
160427239486660,TEAM-51EA86E0,HOME,29,9,13,4,0
160427239486660,TEAM-550D05AB,AWAY,71,15,4,77,0
